company,address,address2,city,state,scf,zip,zip4,mailscore,sic1code,sic1,sic2code,sic2,sic3code,sic3,sic4code,sic4
HEART OF THE CARDS,1810 JUNCTION HWY STE 106,,KERRVILLE,TX,780,78028,9489,3,39440000,"GAMES, TOYS, AND CHILDREN'S VEHICLES",59429905,COMIC BOOKS,,,,
WILLIAMS COMPANY COMIC B,1812 FOWLER ST,,HOUSTON,TX,770,77007,2250,3,59429905,COMIC BOOKS,,,,,,
D N A COMICS,18839 S MEMORIAL DR,,HUMBLE,TX,773,77338,4239,4,59429905,COMIC BOOKS,,,,,,
KEITH'S COMICS,1906 AMBROSE DR,,ROWLETT,TX,750,75089,1935,1,59429905,COMIC BOOKS,,,,,,
ALL THE FUN STUFF INC,19314 LEAFWOOD LN,,HOUSTON,TX,770,77084,4894,3,59429905,COMIC BOOKS,,,,,,
DNA COMICS,20032 HIGHWAY 59 N,,HUMBLE,TX,773,77338,2407,3,59429905,COMIC BOOKS,,,,,,
FRIED ANT ANIME,2006 S GOLIAD ST,,ROCKWALL,TX,750,75087,4880,4,59470104,GIFT SHOP,59450200,TOYS AND GAMES,78419902,VIDEO DISK/TAPE RENTAL TO THE GENERAL PUBLIC,59429905,COMIC BOOKS
AREA 51 GAMING & COLLECTIBLES,201 N BARTON ST,,GRAPEVINE,TX,760,76051,3205,3,59429905,COMIC BOOKS,,,,,,
AZOTH CORP,2011 SOUTHWEST FWY,,HOUSTON,TX,770,77098,4805,3,59429905,COMIC BOOKS,59450103,"HOBBIES, NEC",,,,
NAN'S GAMES & COMICS TOO,2011 SOUTHWEST FWY,,HOUSTON,TX,770,77098,4805,3,59429905,COMIC BOOKS,59450201,,59470100,GIFTS AND NOVELTIES,59450203,"GAMES (CHESS, BACKGAMMON, AND OTHER DURABLE GAMES)"
BOOK STAN,204 N FORT HOOD ST STE D,,KILLEEN,TX,765,76541,5067,3,59429905,COMIC BOOKS,59470100,GIFTS AND NOVELTIES,59450203,"GAMES (CHESS, BACKGAMMON, AND OTHER DURABLE GAMES)",,
STAN BOOK,204 N FORT HOOD ST STE D,,KILLEEN,TX,765,76541,5067,3,59450203,"GAMES (CHESS, BACKGAMMON, AND OTHER DURABLE GAMES)",59429905,COMIC BOOKS,,,,
EMPIRE CENTRAL,2047 W MAIN ST STE B2,,LEAGUE CITY,TX,775,77573,3565,3,51929905,COMIC BOOKS,,,,,,
HALF PRICE BOOKS,2100 ALAMO RD STE A,,RICHARDSON,TX,750,75080,2749,3,59420000,BOOK STORES,59429905,COMIC BOOKS,,,,
BUBBAS BARGAIN COMICS,2107 HOUSE ST,,PASADENA,TX,775,77502,5648,3,59429905,COMIC BOOKS,,,,,,
GOTHAM COMIXS,211 S COMMERCE ST,,HARLINGEN,TX,785,78550,6458,3,59429905,COMIC BOOKS,59429905,COMIC BOOKS,,,,
JUNIORS COMIC & CARDS,2110 W SLAUGHTER LN # 147,,AUSTIN,TX,787,78748,5992,4,59429905,COMIC BOOKS,,,,,,
HALF PRICE BOOKS,2211 S COOPER ST,,ARLINGTON,TX,760,76013,6327,3,59420000,BOOK STORES,59429905,COMIC BOOKS,,,,
BOOK RACK,2304 W PARK ROW DR STE 15,,PANTEGO,TX,760,76013,3347,3,59320300,"BOOK STORES, SECONDHAND",59420000,BOOK STORES,59429905,COMIC BOOKS,,
BAZINGA COMICS,2339 E EVANS RD STE 105,,SAN ANTONIO,TX,782,78259,2718,3,59429905,COMIC BOOKS,,,,,,
ENTERTAINMENT LABS INC,239 N INDUSTRIAL BLVD,,BEDFORD,TX,760,76021,6103,3,59429905,COMIC BOOKS,,,,,,
GENERATION X COMICS,239 N INDUSTRIAL BLVD,,BEDFORD,TX,760,76021,6103,3,59429905,COMIC BOOKS,,,,,,
MP & M ANTIQUES & MORE,2401 N LOGAN ST,,TEXAS CITY,TX,775,77590,4659,4,59429905,COMIC BOOKS,59320200,ANTIQUES,,,,
3 D'S COMICS,2410 E ARKANSAS LN STE 342,,ARLINGTON,TX,760,76014,1756,3,59429905,COMIC BOOKS,59320302,RARE BOOKS,,,,
KEN GEORGE INSURANCE AGENCY,2421 W PARK ROW DR,,PANTEGO,TX,760,76013,3396,4,64110000,"INSURANCE AGENTS, BROKERS, AND SERVICE",59429905,COMIC BOOKS,,,,
DRAGON'S LAIR COMICS & FANTASY,2438 W ANDERSON LN STE B1,,AUSTIN,TX,787,78757,1146,3,59450203,"GAMES (CHESS, BACKGAMMON, AND OTHER DURABLE GAMES)",59429905,COMIC BOOKS,,,,
PON MATERIAL HANDLING GROUP,2500 CITYWEST BLVD STE 300,,HOUSTON,TX,770,77042,3033,3,50820000,CONSTRUCTION AND MINING MACHINERY,59429905,COMIC BOOKS,,,,
COMIC CREATIONS,2701 S SURREY DR,,CARROLLTON,TX,750,75006,4771,3,59429905,COMIC BOOKS,72310000,BEAUTY SHOPS,,,,
HEROES WORKSHOP,2704 W BERRY ST,,FORT WORTH,TX,761,76109,2345,3,59429905,COMIC BOOKS,59470105,NOVELTIES,,,,
